Node,Organism,Type,Pathway,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
rn:R10120,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.029727548949153398,0.04732572115384615,5.906672011895912e-07
cpd:C20377,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.028185634857596734,0.045247243868280246,1.331966835128506e-07
rn:R10121,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.026641199238498683,0.043340671436433685,3.006940714438053e-08
cpd:C20378,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.02509424209185925,0.04158553087560646,6.796606689565791e-09
rn:R10122,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.02354476341767843,0.03996447602131439,1.5383492216887608e-09
cpd:C19846,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.021992763215956227,0.03846271253701273,3.4872086649622667e-10
rn:R09725,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.02043824148669264,0.03706754530477759,7.918329246466172e-11
cpd:C19845,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.018881198229887666,0.035768018849178185,1.8015887355016985e-11
rn:R10124,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.01732163344554131,0.03455462922334357,4.118704345588881e-12
cpd:C01092,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.015779719353984645,0.033419091318993184,9.93081297002144e-13
rn:R03231,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.011058159032742036,0.03235082674335011,2.275008830662545e-13
cpd:C01037,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.009485986610688757,0.031347182485383755,5.22631194804658e-14
rn:R03182,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.007911292661094091,0.03040247080397645,1.2075403488220937e-14
cpd:C01909,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.006339120239040812,0.02951165241831596,2.9482888782765876e-15
rn:R12934,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.028667637422642882,6.817787273610479e-16
cpd:C22458,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.027869323837119285,1.5042101341365037e-16
rn:R01078,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.028667637422642882,6.817787273610479e-16
cpd:C00120,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.027869323837119285,1.5042101341365037e-16
rn:R03210,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.03234086242299795,2.268891385254287e-13
cpd:C01063,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.0313284765906661,4.948080267322513e-14
rn:R12424,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.0015873015873015873,0.02752534078993359,3.288190398491063e-17
cpd:C22159,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.00317208164706179,0.02830252251847526,1.372324100351564e-16
cpd:C02972,bsu,metabolite,Biosynthesis of cofactors,0.0007936507936507937,0.0,0.026788561709365367,7.652397315264552e-18
rn:R12427,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.011058159032742036,0.02912890697244313,5.851227976097781e-16
cpd:C22160,bsu,metabolite,Biosynthesis of cofactors,0.002380952380952381,0.009496072720854294,0.028312698020358178,1.4768619759651613e-16
rn:R12423,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.004754340179280609,0.02753737214791503,3.628544555121743e-17
cpd:C15973,bsu,metabolite,Biosynthesis of cofactors,0.0015873015873015873,0.00317208164706179,0.02680223777413797,9.489977004552458e-18
rn:R12428,bsu,reaction,Biosynthesis of cofactors,0.0015873015873015873,0.004754340179280609,0.02912352071005917,5.823308156183993e-16
