Organism,Pathway,Degree Centrality,Degree Centrality,Degree Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality
,,mean,max,min,mean,max,min,mean,max,min,mean,max,min
mtu,Carbon metabolism,0.0024509803921568146,0.0052521008403361,0.0010504201680672,0.013624781401176624,0.2237247008296005,0.0,0.05342045712637772,0.0613007083065035,0.0461642905634759,0.017659561865872062,0.2150669353193663,3.071958281613551e-06
mtu,Degradation of aromatic compounds,0.004858193277310887,0.0126050420168067,0.0010504201680672,0.11739237618009345,0.5647370796479916,0.0,0.05825383110193705,0.064380875092987,0.0513789195315451,0.010049857063822963,0.0506461564703124,0.0001510427751696
mtu,Fatty acid metabolism,0.0021664915966386005,0.0073529411764705,0.0010504201680672,0.05554919489607996,0.204373547526266,0.0,0.030843673462653168,0.0590131415819489,0.012474611806329,6.0527467836220364e-05,0.0018260520121699,1.7879904112118024e-16
mtu,Microbial metabolism in diverse environments,0.0018877116063816346,0.0031512605042016,0.0010504201680672,0.0047752204325337095,0.0456206953779571,0.0,0.04833275271458624,0.0606678562324751,0.0121715783417503,0.0016102683903336593,0.0219321340295787,6.180707594312406e-17
mtu,Nucleotide metabolism,0.0022896799169105325,0.0052521008403361,0.0010504201680672,0.007416026495192614,0.0692393676713587,0.0,0.02598266648736256,0.0334998944331057,0.0217953707731404,2.11783226354312e-10,1.5836627792139283e-09,2.5362178916845983e-14
pae,2-Oxocarboxylic acid metabolism,0.0015649452269170048,0.0031298904538341,0.0007824726134585,0.007836774748449633,0.1930816958462893,0.0,0.05088235892627192,0.0713249246567697,0.0390360120956657,0.0007805144127518754,0.0140737535903104,2.108957609527049e-10
pae,Biosynthesis of amino acids,0.0020676510958987397,0.0109546165884194,0.0007824726134585,0.026262555711320405,0.4232689988422625,0.0,0.052108185437110016,0.0738088362691308,0.0302678634867252,0.016480259893230945,0.3710823235462101,2.9147925910717323e-15
pae,Biosynthesis of cofactors,0.0017511197452916183,0.0070422535211267,0.0007824726134585,0.022532015947511266,0.1900782668198851,0.0,0.041367112371877804,0.0660158066015806,0.0256004487089601,0.001074250364492044,0.2182157420627505,5.55374046026486e-18
pae,Biosynthesis of nucleotide sugars,0.00162150951222726,0.0078247261345852,0.0007824726134585,0.011318563724127843,0.1509425688507524,0.0,0.045129979970236656,0.0631891223733003,0.0282337346735888,0.00999615113801556,0.2690760969621323,2.61424769479303e-14
pae,Biosynthesis of secondary metabolites,0.001536565391195709,0.0039123630672926,0.0007824726134585,0.012997409306985478,0.2091134842796701,0.0,0.04240502358790619,0.0708425720620842,0.022910205618199,0.0028989269452461613,0.2696351968785612,1.3338112023242356e-18
